persons,reference,pred.score
person1,bad,0.0661431865300983
person2,bad,0.511219900334254
person3,bad,0.622303780866787
person4,good,0.00090275751426816
person5,bad,0.837437230860814
person6,bad,0.972632631659508
person7,good,0.796910103876144
person8,good,0.481312691001222
person9,good,0.600060662953183
person10,good,0.804724816931412
person11,good,0.529187762876973
person12,bad,0.122931188205257
person13,good,0.620216202922165
person14,bad,0.370538233080879
person15,good,0.493017785483971
person16,good,0.217521094484255
person17,bad,0.346066248603165
person18,bad,0.195892863674089
person19,good,0.632826373912394
person20,good,0.909632361261174
person21,good,0.837880153441802
person22,good,0.776609170949087
person23,good,0.0234459943603724
person24,good,0.197315653786063
person25,good,0.531701407162473
person26,bad,0.707695358432829
person27,good,0.0211402005515993
person28,bad,0.445540010929108
person29,bad,0.30315176025033
person30,good,0.187509609619156
person31,good,0.312585250707343
person32,bad,0.789767753100023
person33,good,0.154615430394188
person34,good,0.186471588443965
person35,good,0.983285583090037
person36,good,0.693632576614618
person37,good,0.65334644424729
person38,bad,0.272377728950232
person39,bad,0.0955633670091629
