persons,reference,pred.score
person1,bad,0.269937580451369
person2,bad,0.134420924354345
person3,bad,0.676766895223409
person4,good,0.290945845423266
person5,bad,0.866583615075797
person6,bad,0.600105564575642
person7,good,0.449887695489451
person8,good,0.309103996492922
person9,good,0.360428950283676
person10,good,0.828671522205696
person11,good,0.0114343876484782
person12,bad,0.613402992719784
person13,good,0.460862365085632
person14,bad,0.103069313568994
person15,good,0.909451755229384
person16,good,0.782998552545905
person17,bad,0.386713885469362
person18,bad,0.0241158371791244
person19,good,0.730115916579962
person20,good,0.786446656100452
person21,good,0.938732758397236
person22,good,0.0374767428729683
person23,good,0.573658592067659
person24,good,0.487182667478919
person25,good,0.0294632411096245
person26,bad,0.596771399490535
person27,good,0.466239428846166
person28,bad,0.270372200524434
person29,bad,0.408422806998715
person30,good,0.42113628028892
person31,good,0.436845648800954
person32,bad,0.0104759961832315
person33,good,0.802505389321595
person34,good,0.297177493106574
person35,good,0.745386441238225
person36,good,0.295670730993152
person37,good,0.293724880320951
person38,bad,0.446225513704121
person39,bad,0.319675676524639
