persons,reference,pred.score
person1,bad,0.807018548483029
person2,bad,0.740809247596189
person3,bad,0.0944965328089893
person4,good,0.148418645840138
person5,bad,0.444142119726166
person6,bad,0.920627544866875
person7,good,0.127803329611197
person8,good,0.891108539421111
person9,good,0.867269426118582
person10,good,0.90257207932882
person11,good,0.510640445863828
person12,bad,0.463697282597423
person13,good,0.907982537057251
person14,bad,0.102669007377699
person15,good,0.684109007241204
person16,good,0.866493969690055
person17,bad,0.0235048977192491
person18,bad,0.0329399963375181
person19,good,0.35579092730768
person20,good,0.28061004774645
person21,good,0.324504365911707
person22,good,0.601762370206416
person23,good,0.080842869123444
person24,good,0.33106270711869
person25,good,0.931398683460429
person26,bad,0.372654739534482
person27,good,0.783865585690364
person28,bad,0.816867601592094
person29,bad,0.813288301462308
person30,good,0.749440415063873
person31,good,0.260632697260007
person32,bad,0.417145278770477
person33,good,0.34783944603987
person34,good,0.0316362243611366
person35,good,0.145684072049335
person36,good,0.887808996252716
person37,good,0.376730868127197
person38,bad,0.19712333730422
person39,bad,0.366649072850123
