persons,reference,pred.score
person1,bad,0.556286106351763
person2,bad,0.711544148158282
person3,bad,0.197341127321124
person4,good,0.110801177099347
person5,bad,0.118511674460024
person6,bad,0.754110569600016
person7,good,0.901030815439299
person8,good,0.053159527014941
person9,good,0.515324907144532
person10,good,0.876105086645111
person11,good,0.362773402826861
person12,bad,0.423703809734434
person13,good,0.297146187862381
person14,bad,0.00240429234690964
person15,good,0.616545772878453
person16,good,0.0696022112388164
person17,bad,0.300863669253886
person18,bad,0.994415700435638
person19,good,0.631333737168461
person20,good,0.876780874328688
person21,good,0.688958588754758
person22,good,0.665703459409997
person23,good,0.449402560247108
person24,good,0.335483179660514
person25,good,0.692209841916338
person26,bad,0.555490295402706
person27,good,0.146770781138912
person28,bad,0.019332786090672
person29,bad,0.476919905748218
person30,good,0.518256907351315
person31,good,0.0602179470006377
person32,bad,0.995165240718052
person33,good,0.552716344129294
person34,good,0.106514517217875
person35,good,0.369333367561921
person36,good,0.399062037002295
person37,good,0.618162569357082
person38,bad,0.0796946696937084
person39,bad,0.0879861395806074
