persons,reference,pred.score
person1,bad,0.001277981325984
person2,bad,0.535067348740995
person3,bad,0.441446929005906
person4,good,0.572912907227874
person5,bad,0.754301520762965
person6,bad,0.641660117544234
person7,good,0.759229088202119
person8,good,0.310008234344423
person9,good,0.443470730213448
person10,good,0.178832661826164
person11,good,0.778916853712872
person12,bad,0.316324701299891
person13,good,0.58923322102055
person14,bad,0.626294741872698
person15,good,0.848799026804045
person16,good,0.373184080701321
person17,bad,0.515453754924238
person18,bad,0.650832209270447
person19,good,0.371026300126687
person20,good,0.609025360317901
person21,good,0.599352551391348
person22,good,0.660604045260698
person23,good,0.459740348393098
person24,good,0.293003535596654
person25,good,0.96443722769618
person26,bad,0.58874089946039
person27,good,0.668769020587206
person28,bad,0.686709575355053
person29,bad,0.705540120368823
person30,good,0.2812058867421
person31,good,0.954532109200954
person32,bad,0.305193135980517
person33,good,0.984442730434239
person34,good,0.169686840614304
person35,good,0.948089897399768
person36,good,0.911239894805476
person37,good,0.946124869864434
person38,bad,0.816531682154164
person39,bad,0.203579455148429
